血液ガス分析の正常値はPaO2が{{c1::80}}～{{c1::100}}Torr，PaCO2が{{c1::40}}±{{c1::5}}Torr．	
アルコール依存症の{{c1::CAGE}}スクリーニングテスト ・{{c1::あなたは，今までに飲酒の量を控えたほうが良い（Cut down）と感じたことがありますか？}} ・{{c1::あなたは，人から飲酒について非難され，いらいらさせられた（Annoyed）ことがありますか？}} ・{{c1::あなたは，飲酒に対して不快感や罪悪感（Guilty）を感じたことがありますか？}} ・{{c1::あなたは，今までに神経を落ち着かせるためや二日酔いを免れるために，朝まっさきに（Eye-opener）飲酒したことがありますか？}}	
救急救命士の特定行為	気管挿管 アドレナリンの静注 静脈路確保及び乳酸リンゲルの点滴 ブドウ糖液の投与
{{c1::マンガン}}中毒では{{c2::Parkinson症候群}}がみられる．	
・{{c1::キシレン}}― 尿中{{c2::メチル馬尿酸}}	
・{{c1::スチレン}}― 尿中{{c2::マンデル酸}}	
・{{c1::トルエン}}― 尿中{{c2::馬尿酸}}	
ACTH↓、TSH↓が同時に認められるときは、{{c1::コルチゾール}}の補充を先行させる。	
抑制薬	狭義麻薬(モルヒネ、ヘロイン、コデイン) アルコール バルビツール酸 ベンゾジアゼピン
興奮薬	覚醒剤(アンフェタミン、メタンフェタミン) MDMA コカイン ニコチン
幻覚剤	LSD 有機溶剤 大麻
身体依存を生じる薬剤	抑制薬全般（狭義麻薬、アルコール、バルビツール酸、ベンゾジアゼピンなど）とニコチン
身体依存とは？	断薬した際に離脱症状等の身体的異常を生じるもの
{{c1::気管支異物}}では，吸気と呼気で胸部X線を撮影することは診断上極めて有用である	Holzknecht sign
妊娠後半期の腟炎の原因として最も多いのは？	カンジダ カンジダは，酸度の高い環境を好む．妊娠中は，持続的なエストロゲンの作用を受けて，腟内の酸度が上昇しており，カンジダ腟炎を発症しやすい．
小児の白色の水様性下痢といえば	ロタウイルス
L{{c1::3}}以下の損傷で脊髄障害を合併することはなく，{{c1::馬尾神経}}ないし{{c1::神経根}}障害となる．	
急性期房室ブロックにおいて、緊急ペーシングまでの繋ぎとして投与する薬剤は？	アトロピン、イソプロテレノール（β刺激）
原発性胆汁性胆管炎の概念を述べよ	慢性非化膿性破壊性胆管炎による慢性の肝内胆汁うっ滞をきたす疾患。病因として自己免疫的機序が深く関わっていると考えられている。
{{c1::PBC}}は肝疾患の中で最も瘙痒を伴う．	
原発性硬化性胆管炎の概念を述べよ	肝内・肝外胆管の原因不明の炎症性疾患。胆管に繊維性狭窄をきたし、進行性の胆汁うっ滞をもたらす。最終的には肝硬変に至る。
骨形成不全症の症状３つ	青色強膜、骨形成不全、難聴 膜性骨化の異常
卵巣過剰刺激症候群(OHSS)の治療	輸液、アルブミン投与、低用量ドパミン持続投与
浮腫をきたす薬剤の代表3つ	ステロイド，カルシウム拮抗薬，NSAIDs これ以外にも沢山あるが、反射で唱えられるようにする。
神経のレベルは？	S1
神経のレベルは？	L5
神経のレベルは？	L4
熱性けいれんが単純型であるための条件	・生後6ヶ月~6歳 ・持続時間が15分以内 ・全身性、左右対称性 ・24時間以内の反復がない ・発作時に意識障害や麻痺がない
入院診療計画書の作成と交付およびその適切な説明は，患者が入院した日から{{c1::7}}日以内に行うべきである。	
てんかんでは発作後などに{{c1::妄想や幻覚}}が出現することがある．	
介護保険の保険者	市町村および特別区
一般に，{{c1::中心}}静脈カテーテルのほうが{{c1::末梢}}静脈カテーテルより感染を起こしやすい．	
透析死因順番に四つ	慢性透析患者の死因は心不全（26.0％），感染症（22.0％），悪性腫瘍（9.3％），脳血管障害（6.6％）の順であり，この傾向は過去10年近く変わっていない
診療所開設の際は，開設後{{c1::10}}日以内に{{c1::都道府県知事}}または{{c1::保健所設置市の市長}}へ届け出なければならない．	
{{c1::ブドウ糖}}は全血のまま室温に放置すると赤血球の{{c1::解糖}}作用により減少する．	
肺塞栓は{{c1::過}}換気	
心的外傷後急性期に発症するものと時間が経ってから発症するものそれぞれ	前者：急性ストレス反応 後者：PTSD
arrhythmia	不整脈
convulsion	けいれん
constipation	便秘
anorexia	食思不振
腹腔臓器が下がるのは呼気時か吸気時か？	吸気時
Barre徴候でわかるのは何か？	錐体路障害による軽微な不全麻痺
手関節の背屈の神経レベル	C6
肩甲骨の挙上の神経レベル	C4
手関節の屈曲の神経レベル	C7
手指の伸展の神経レベル	C6~C8
開放骨折では{{c1::骨髄炎}}を防ぐために緊急手術を行う．	
拡張型心筋症<DCM>の薬物療法	a. 無症状 ACE阻害薬 or ARB β遮断薬 b. 心不全あり ACE阻害薬 or ARB 利尿薬 β遮断薬 c. めっちゃやばい（NYHA ≥III, wide QRS, EF < 35%など） 心臓再同期療法<CRT> Ca拮抗薬は効かない！
犬が吠えるような咳	クループ症候群
該当する精神科用語は？ 自分の思考，知覚，意志，行為などが他者により支配されていると感じる	作為体験
Sweet病の主徴3つ	①発熱，②好中球増多，③頭頸部・四肢の有痛性浮腫性紅斑
nystagmus	眼振
asterixis	羽ばたき振戦
clubbing	ばち指
gynecomastia	女性化乳房
scoliosis	脊椎側弯症
塩酸リトドリンは，機序としては{{c1::β2刺激}}薬である。	
胎児心拍を認めるのは{{c1::切迫}}流産	
パニック障害とは？	突然予期せぬパニック発作が反復して起こる疾患である．
高Ca血症の症候	多尿、消化性潰瘍、悪心嘔吐、便秘、易疲労感、意識障害（変動あり）
所見と診断	PR感覚が長い。I度房室ブロック
偽痛風所見と診断のための検査	Xpで関節軟骨あたりに線状の石灰化 関節穿刺液をGram染色して結晶が観察される →偏光顕微鏡
足クローヌスとは？	足関節を他動的に急に背屈させると，連続して自動的に背屈と底屈を繰り返す現象で，アキレス腱反射が亢進している状態である．
Geckler分類（塗抹検鏡による喀痰の品質評価）では、1視野で扁平上皮細胞数が{{c1::25}}個より{{c1::少な}}く，好中球が{{c1::25}}個より{{c1::多}}く存在する検体の培養では，診断的意義が高いとされている	
舞踏運動	ハンチントンとリウマチ熱
フェリチン上昇	Still, 血球貪食症候群、ヘモクロマトーシス
鼻カニューラの場合，{{c1::大気20％＋流量×4}}で計算，簡易マスクの場合，{{c1::流量×8}}，リザーバーマスクの場合，{{c1::流量×10}}で大まかな吸入酸素濃度を計算できる．	簡易マスクは流量x10-10でも良いらしい。
肺扁平上皮癌の腫瘍マーカー	SCC，CYFRA
肺腺癌の腫瘍マーカー	CEA，SLX
肺小細胞癌の腫瘍マーカー	NSE，ProGRP
小児の必要カロリーを体重kgの関数で	Holliday-Segar法 ====================== bw = 体重if bw < 10: return 100 * bw elif bw < 20 return 1000 + (bw - 10) * 50 else: return 2000 + (bw - 20) * 20
早産時期（37週未満）の前期破水（preterm PROM）において，妊娠継続の可否を決定づけるものとして重要なのは{{c1::絨毛膜羊膜炎}}の有無である．	
妊娠27週以降に突然の上腹部痛あるいは悪心，嘔吐など消化器症状を呈した場合は，{{c1::HELLP症候群}}を想起する。	
ペニシリンアレルギーがある場合の梅毒治療の第二選択	テトラサイクリン系
インフォームド・コンセントは『{{c1::医療}}法』	
爪が厚くなるリウマチ性疾患の代表例は{{c1::乾癬性関節炎}}である．	
末梢挿入中心静脈カテーテルを入れる静脈	右肘正中静脈あるいは尺側皮静脈
貧血でHbA1cが使えない時に何を使うか？	グルコアルブミン
肝排泄性抗菌薬	ゴロ: クロマクテリーメ クロラムフェニコール マクロライド テトラサイクリン リンコマイシン メトロニダゾール
胸腔ドレーン場所・緊急ドレーン ・気胸時の普通のドレーン ・胸水時のドレーン ・胸腔穿刺の穿刺部位	鎖骨中線2 or 3 中腋窩線5 or 6 後腋窩線7 or 8 後腋窩線8 or 9
春季カタルは{{c1::I+IV}}型アレルギー	
肺胞蛋白症は抗{{c1::GM-CSF}}抗体	
COPD急性増悪の原因菌	肺炎球菌、インフル桿菌、モラクセラ・カタラーリス
乳腺腫瘍 分泌物ないのは？	繊維腺腫
乳腺炎の原因菌一位は？	黄色ブドウ球菌
肺移植の適応	リンパ脈管筋腫症<LAM> 特発性肺繊維症 肺高血圧 気管支拡張症
後天性のQT延長症候群の原因	抗不整脈薬 抗菌薬：ニューキノロン，マクロライド，ST合剤 向精神病薬：三環系抗うつ薬 電解質異常：K, Ca, Mg↓
QT延長症候群発作時の薬と予防薬	発作時：硫酸マグネシウム、β遮断薬 予防：β遮断薬、ICDも検討
圧痕を残さない浮腫	甲状腺↓、リンパ性浮腫、浮腫性硬化症、Quincke浮腫
心移植の原因疾患最多	拡張型心筋症
上部消化管内視鏡検査で抗コリン薬が使えない時は？	グルカゴン
じん肺の合併症	①肺結核 ②結核性胸膜炎 ③続発性気管支炎 ④続発性気管支拡張症 ⑤続発性気胸 ⑥原発性肺癌
水中と土中の死体の腐敗速度は地上を1とした時どのくらいか	水中：1/2 土中：1/8
心原性塞栓症に対しては抗凝固か抗血小板か	抗凝固
ラクナに対しては抗凝固か抗血小板か	抗血小板
アテローム血栓性梗塞に対しては抗凝固か抗血小板か	抗血小板
肝疾患の既往+発熱+腹痛で疑う疾患	特発性細菌性腹膜炎 →腹水検査して抗菌薬
Child-Pugh2点の基準とA, Bの基準	脳症：I, II度 腹水：軽度 Bil：2~3 Alb：2.8~3.5 PT：40~70% (PT-INR：1.7~2.3) 5~6がA, 7~9点がB
急性膵炎予後不良因子	70歳↑、BP↓、PaO2↓、Ca↓、LD↑、BUN↑、Cr↑、CRP↑、血小板↓
子宮脱の治療	Stage I以下：骨盤底筋体操Stage II以上：手術+ペッサリー
COPD治療	上から順にステップアップ 長時間作用型抗コリン薬 + 長時間作用型β2刺激薬 テオフォリン内服 ステロイド吸入 在宅酸素療法 外科療法
三叉神経痛の治療	カルバマゼピン、神経血管減圧術(=微小血管減圧術)
Cheyne-Strokes呼吸の疾患	脳梗塞、心不全
West症候群の治療	ACTH, Vit. B6
Lennox-Gastau症候群の治療	クロナゼパム
新生児痙攣の原因	Ca↓、BS↓ Ca↓の時の治療はグルコン酸Ca
慢性甲状腺炎に甲状腺ホルモン補充を行う前には、{{c1::心筋虚血}}に注意するため{{c1::心電図検査}}を行う。	
低カリウム血症，低レニン，低アルドステロンを引き起こす疾患	①偽性アルドステロン症（甘草・グリチルリチン酸の使用による） ②Liddle症候群 ③デオキシコルチコステロン（DOC）産生腫瘍 ④11β-水酸化酵素欠損症，17α-水酸化酵素欠損症 とりあえず1, 2を覚える。3,4は無理して覚えない。
胎児心拍は{{c1::5}}週ごろから見られ、{{c1::9}}週ごろ最大({{c1::180}}bpm)となる。	
胎盤は{{c1::15}}週ごろ完成する。	
器官形成期はいつくらい？	4~11週くらい
hCG刺激により卵巣に{{c1::ルテイン嚢胞}}が発生することがある。対応としては{{c1::経過観察}}。	絶対に切らない。
hCGは{{c1::10}}週ごろピークで値としては{{c1::10万}}くらい	
産婦人科的には流産は{{c1::22}}週未満。	
{{c1::稽留}}流産はDICのリスク。	
羊水の産生源	羊膜、肺、腎（12w~）、皮膚
産瘤は第1頭位では{{c1::右}}。	
妊娠糖尿病の診断基準と治療目標	空腹時≥92, 1時間≥180, 2時間≥153 目標は2時間値≤120
食中毒の原因一位は？	ノロウイルス
寝たきり度の因子	外出、座位、車椅子移乗、寝返り
NAPスコアが低下するもの	慢性期CML, PNH
『{{c1::医療観察}}法』は，心神喪失又は心神耗弱の状態で，重大な他害行為を行った人に対して，適切な医療を提供し，社会復帰を促進することを目的とした法律である．	
二次医療圏は『{{c1::医療}}法』に基づいて{{c1::都道府県}}が定める「医療計画」の記載項目である．	
生物学的濃縮	メチル水銀，ダイオキシン類，有機塩素系農薬（PCB，DDT，BHCなど）
介護保険の一次判定 介護保険の二次判定と必要条件 判定結果の区分方法	一次判定は訪問調査とコンピュータ 二次判定は介護認定審査会で一次判定と主治医意見書が必要 非該当、要支援1, 2、要介護1~5に区分
低カリウム血症では，{{c1::耐糖能}}低下がみられる。	
関節リウマチの csDMARDs bDMARDs	cs: MTX、サラゾスルファピリジン、タクロリムス b: TNF-α阻害薬(インフリキシマブ)やIL-6阻害薬(トシリズマブ)
インジウム中毒	間質性肺炎
起立性低血圧の基準	立位3分以内に収縮期血圧が20mmHg以上、または拡張期血圧が10mmHg以上低下する。
数年来の蛋白尿と血尿の指摘に対しては{{c1::腎生検}}。	
大動脈縮窄症は{{c1::Turner症候群}}に合併しやすい。	
サルコイドーシスの気管支鏡検査所見 ●粘膜下の{{c1::網目状血管怒張}} ●{{c1::顆粒}}状，{{c1::結節}}状の白色または黄色の{{c1::隆起病変}}（肉芽腫病変） ●{{c1::気道閉塞}}所見（リンパ節腫脹などによる非特異的所見）	
Kerley線の原疾患	急性：心不全・肺水腫・急性好酸球性肺炎 慢性：僧帽弁狭窄症・癌性リンパ管症・肺線維症
多発性硬化症疑い、あるいは視神経脊髄炎疑いの視神経炎に対する検査は、{{c1::視覚誘発電位}}を行う。	
肝細胞癌治療アルゴリズム	
トータルコレステロールをLDL, HDL, TGから産出する公式	TC = LDL-C + HDL-C + TG/5
炭水化物：蛋白：脂質	60:15:25
摂取タンパク質量	蛋白g/day = 標準体重(kg) ただし、CKD stage3a~はx0.6 ~ x0.8する
TTPの五主徴	血小板数減少，溶血性貧血（赤血球破砕像），動揺する精神神経症状，腎障害，発熱
(B)ADLの要素	移動、排泄、食事、更衣、整容、入浴
IADLの要素	外出、買い物、家事、食事準備、電話、洗濯、金銭管理、服薬管理
高齢者総合機能評価<CGA>の要素	(B/I)ADL,、意欲、情動と気分、認知機能
複合性局所疼痛症候群<CRPS>の症候5つ	アドディニア（手を触られると刺すような痛み）、萎縮性変化（皮膚/爪）、関節可動域制限、浮腫、発汗異常
大腿骨頭壊死のリスク	ステロイド、アルコール
頸椎症性脊髄症とALSの鑑別点	前者は下肢の下位運動ニューロンが保たれる。
IgA腎症患者で腎機能低下リスクとなるもの	血中Cr、収縮期血圧、尿蛋白
Alport症候群 遺伝形式：{{c1::XD}} 責任遺伝子：{{c1::IV型コラーゲン}}遺伝子	
ネフローゼ症候群の診断基準	必須 尿蛋白 ≥ 3.5g/day or 定性3+以上 血中Alb ≤ 3 任意 浮腫 LDL-C ≥ 140
レニン分泌刺激	腎血流低下、β刺激、マクラデンサ（緻密斑）低Cl刺激
開放隅角緑内障の治療薬	β遮断薬、プロスタグランジン、炭酸脱水素酵素阻害薬
白内障術後眼内炎の治療	抗菌薬＋硝子体手術
後発白内障の解剖学的局在および治療法	後嚢の混濁、後嚢レーザー切開
成人Still病で上がる検査所見	好中球、フェリチン
社会保障給付費の割合は，{{c1::年金給付}}，{{c1::医療給付}}，福祉その他の順で大きい．	
措置入院には保険給付額を除いた公費負担があり，{{c1::精神保健福祉}}法で規定されている．	
神経芽腫の予後不良因子	MYCNの増幅、1歳以上 逆に乳児では自然退縮も
肺MAC症の薬物療法	クラリスロマイシン，リファンピシン，エタンブトール
びっくり眼	Machado-Joseph病
脂肪抑制で抑制される卵巣腫瘍	成熟嚢胞性奇形腫
成熟嚢胞性奇形腫の特徴と治療	特徴 ・エコーで毛髪, 脂肪、CTで石灰化 ・脂肪抑制+ ・悪性転化でSCC↑ ・茎捻転すると痛い 治療 ・摘出
地域医療構想は，{{c1::二次医療圏}}単位での策定が原則である．	
CPA判定時の脈拍の触知は，乳児では{{c1::上腕}}動脈，小児では{{c1::頸}}動脈または{{c1::大腿}}動脈，成人では{{c1::頸}}動脈で行う．	
日本の合計特殊出生率は2018年は{{c1::1.42}}	
片足立ちは{{c1::3歳}}頃までにできるようになる．	
{{c1::1歳6ヵ月}}頃になれば，興味のある物を指さしすることができている．	
ケアプランを作成するのは{{c1::介護支援専門員（ケアマネジャー）}}あるいは{{c1::保健師}}が一般的である	
滲出性中耳炎の合併症	上咽頭癌、アデノイド増殖症、血管繊維腫、Down症候群、唇裂・口蓋裂
シェーグレン患者の児に合併しやすい疾患とその理由	房室ブロック 抗SS-A抗体がIgGなので胎盤通過性があり、それが悪さをするから。
JIAは{{c1::16}}歳未満に発症する疾患である。	
Wiskott-Aldrichで上がるIgと下がるIg	上がる：IgA, IgE 下がる：IgM
カタラーゼ陽性菌	「セレブな大王」セラチア クレブシエラ 大腸菌 黄色ブドウ球菌
ヘモグロビン酸素解離曲線の右方シフトの原因	pH↓，PaCO2↑ (この二つは「酸性」とまとめて良さそう)，高体温，2,3-DPG↑
産前・産後休業の取得や妊娠中および産後1年未満の女性の危険有害業務の就業制限，変形労働時間制の制限とかは何法？	労働基準法
{{c2::脂腺癌}}は{{c1::Meibom腺}}から発生する癌腫である．	
局所性ジストニア	書痙，眼瞼けいれん，痙性斜頸（頸部ジストニア），痙性発声障害
放線菌症の抗菌薬	ペニシリン
ノカルジア症の抗菌薬	ST合剤
緑膿菌に対する抗菌薬 多剤耐性の条件と、その時の対応は？	第三，四世代セフェム，カルバペネム，ニューキノロン，アミノグリコシド，ペントシリンなど． なおカルバペネム、ニューキノロン、アミノグリコシドに耐性をもたれたら多剤耐性緑膿菌と言う。 その時は感受性のある抗菌薬、およびコリスチンをカルバペネムなどと併用。
溶連菌感染症の治療指針のためのスコア<Centorスコア>	
SIRS（全身性炎症反応症候群）診断基準	以下2つ以上 ①体温＞38℃または＜36℃ ②脈拍＞90/分 ③呼吸数＞20/分またはPaCO2＜32mmHg ④白血球数＞12,000/mm3または＜4,000/mm3または10％超の幼若球出現
遂行機能障害は{{c1::前頭連合}}野障害で起こる。	他に社会行動障害、注意障害が起こる。左右の差はなし。
ゲフィチニブのターゲット、適応、副作用	ターゲット：EGFR, 適応：EGFR遺伝子変異陽性の手術不能又は再発非小細胞肺癌, 副作用：急性肺障害，間質性肺炎，皮膚障害
アキレス腱断裂に対する治療	足関節背屈制限装具、手術
寒冷凝集素はIg{{c1::M}}抗体	
尿路結石再発予防薬。成分別に。	シュウ酸Ca: クエン酸製剤 尿酸: アロプリノール シスチン: チオプロニン
自閉症スペクトラム障害は症状が{{c1::3}}歳頃に完成する。	
むずむず脚症候群の治療薬	プラミペキソール（ドパミン作動薬）
夜尿症の薬物療法	DDAVP（デスモプレシン）、3環系抗うつ薬
口頭で行う精神科検査	簡易精神症状評価尺度<BPRS>, Frontal Assessment Battery<FAB>, MMSE, Hamilton, 津守, ロールシャッハ
{{c1::保続}}、{{c1::迂遠}}は{{c2::Alzheimer}}で出る。 ※精神科用語2つ	
{{c2::Birbeck}}顆粒は{{c1::Langerhans細胞}}にある。	
DIHSの原因薬剤	カルバマゼピン、アロプリノール
陰部の壊死性筋膜炎を特になんと言う？	Fournier壊疽
肥満細胞腫の別名	色素性蕁麻疹
Darier徴候とは	皮疹部をこすると膨疹がでる。
放射線感受性が大きいのは？	・扁平上皮癌 ・骨髄系細胞 ・未分化細胞 ・分裂周期G2-M ・高酸素組織
川崎病の初期治療 24時間以内に解熱しないか再発熱するときのオプション	アスピリンとγ-グロブリン投与 γ-グロブリンの再投与，メチルプレドニゾロンパルス療法，プレドニゾロン，インフリキシマブ，ウリナスタチン，シクロスポリンA，血漿交換
唾液腺の多形腺腫の好発年齢性別、治療	若年から中年女性に好発 悪性転化避けるためオペ
ワルチン腫瘍の好発年齢性別、検査	中高年男性、99mTcO4-シンチで集積
水道で検出されちゃいけないもの 川、湖、海から検出されちゃいけないもの 下水で検出されちゃいけないもの	水道：大腸菌 川とか：アルキル水銀、全シアン、ポリ塩化ビフェニル<PCB> 下水：アルキル水銀化合物
法律的に{{c1::12}}週以降が死産。	
近位尿細管障害により上昇する蛋白の例として，{{c1::β2-ミクログロブリン}}がある	
血症浸透圧基準値	280~290mOsm/L
pylori効果判定の検査	2ヶ月後：尿素呼気、便中抗原 6ヶ月後：抗体
SOFAスコアの項目	呼吸器：PaO2/FiO2 凝固能：血小板 肝臓：ビリルビン 循環器：血圧 中枢神経：GCS 腎：Cre + 尿量
Burn Indexの公式	II度面積/2 + III度面積（単位は%）
熱傷時の乳酸リンゲル用法用量をBaxter法で	4mL x {II度 + III度面積(%)} x 体重(kg) 半分を8時間で、残りの半分を16時間で
初期warmショックは？	敗血症性、アナフィラキシー、神経原性
有機水銀の症状	求心性視野狭窄、中枢神経障害
大動脈炎症候群（高安動脈炎）に関して病態整理から導出できる症状や合併症	病態：大動脈とその主要分枝、肺動脈、冠動脈の狭窄または拡張病変 以下をなんとなく言えればOK 大動脈縮笮、AR、脳虚血症状、上肢の冷感・しびれ・倦怠感、脈拍欠損、腎血管性高血圧、心筋虚血症状、肺梗塞、炎症性腸疾患、間欠性爬行
子宮口全開大の時の陣痛周期	1分〜3分30秒
微弱陣痛の対応	4cmまでは経過観察 5cm超えてきたらオキシトシンかプロスタグランジン
腸回転異常症の治療	緊急手術
腸回転異常症は生後{{c1::1}}ヶ月以内に80%が{{c1::中腸軸捻転}}として発症する。	
ゴナドトロピン療法を具体的に	hMG(FSHに似ている)で卵胞の発育促進、hCG(LHに似ている)で排卵を促す。
心臓のMRIは{{c1::心サルコイド}}や{{c1::心筋異常}}に対して行う検査	HOCMとかも心筋異常に含む
TTPの治療	先天性：新鮮凍結血症でADAMTS13を補充する後天性：血漿交換（+ステロイド） 血小板輸血は禁忌！
右室梗塞からの右心不全の治療	十分な輸液による心拍出量維持、カテコールアミン、PCIによる血行再建 ニトログリセリンは禁忌！
所見、診断	太字が答えられればよし。 左の側面像（L　MLO）の下部（L領域）に，辺縁が不整でspiculaを有する高濃度の腫瘤を認める．典型的な乳癌の所見を呈する．
1型糖尿病の抗体	抗GAD抗体、膵頭細胞抗体<ICA>、インスリン自己抗体<IAA>
劇症1型糖尿病の特徴・治療	・糖尿病の症状が出現してから1週間前後でケトアシドーシスに至る ・著明な高血糖、HbA1cは正常〜軽度上昇 ・膵頭関連自己抗体(-) ・治療はまずはDKAの治療して、慢性期はインスリン
緩徐進行1型糖尿病<SPIDDM>の特徴と治療	・一見、2型糖尿病の臨床像 ・膵頭関連自己抗体(+) ・早期にインスリン治療を開始
経口血糖効果薬の種類と簡単な機序、および副作用	SU薬、グリニド薬： 膵臓を叩いてインスリンを出させる 膵臓頑張りすぎて低血糖のリスクあり GLP1受容体作動薬（皮下注）、DPP4阻害薬： インクレチン作用を増強 チアゾリジン、ビグアナイド： インスリン抵抗性改善{{c1::}} ビグアナイドはこれに加えて糖新生抑制 チアゾリジンは浮腫→心不全に禁忌 ビグアナイドは稀に乳酸アシドーシス→腎不全、造影剤使用時は禁忌 αグルコシダーゼ阻害薬： 二糖類のままにして吸収させない 水を引っ張るので、腹部膨満・下痢 SGLT2阻害薬： 再吸収ブロックして糖を尿に捨てる 糖がいっぱいあるので尿路感染症
周産期死亡の定義	妊娠22週以降〜生後1週未満
妊産婦死亡の定義	妊娠中〜後42日の死
rt-PA使用不可例を簡単に ・発症{{c1::4.5h}}以降 ・PLT < {{c1::10万}} ・PT-INR > {{c1::1.7}} ・{{c1::出血}}既往 ・血糖値(~{{c1::50}}, {{c1::400}}~) ・血圧({{c1::185/110}}) ・CTで{{c1::広汎虚血}}	
尿崩症の電解質	高Ca, 低K
ステロイド糖尿病の検査	昼食後2時間血糖
医療計画の5疾病、5事業	がん、脳卒中、AMI、DM、精神疾患 救急、災害、へき地、周産期、小児
von Willebrand病の治療	第Ⅷ因子/vWF補充 or デスモプレシン(DDAVP)
慢性中耳炎の原因菌	黄色ブドウ球菌、緑膿菌、嫌気性菌
補正HCO3-の式	実測HCO3- + (AG - 12)
筋肥大の誘因	高血圧、AS、アミロイドーシス、Fabry病
ATPの禁忌	気管支喘息
筋強直性ジストロフィーの合併症や特徴としては以下のものが挙げられる． ・顔面：前頭部{{c1::禿頭}}，顔面筋・側頭筋・{{c1::咬}}筋の萎縮({{c1::斧様}}顔貌) ・眼：{{c1::白内障}} ・頸部：胸鎖乳突筋の萎縮，{{c1::嚥下}}障害，{{c1::構音}}障害 ・四肢：{{c1::遠}}位筋優位の筋萎縮 ・心臓：{{c1::伝導}}障害({{c1::房室ブロック}}など) ・膵臓：{{c1::糖尿病}} ・その他：{{c1::性腺}}萎縮，{{c1::易感染性}}など様々	
帽状腱膜下血腫で気をつけることとその対応	失血→輸血 DIC→DICの治療（FFPとか）
JAK2+の疾患	原発性骨髄繊維症<PMF>(50%) 本態性血小板血症<ET>(50%) 真性赤血球増加症<PV>(95%)
赤血球連銭形成は{{c1::原発性マクログロブリン血症}}で顕著。{{c1::多発性骨髄腫}}でもみられる。	
涙滴赤血球は{{c1::原発性骨髄繊維症}}などでみられる。	
原発性骨髄繊維症の特徴4つ	・白赤芽球症 ・巨大脾腫 ・dry tap ・巨大血小板
原発性骨髄繊維症の染色	鍍銀染色
NSAIDSは血圧{{c1::上昇}}	
カンピロバクターの抗菌薬	エリスロマイシン（マクロライド）、ニューキノロン
マクロライドの菌	
食中毒の事件数・患者数・死者数1位だけ	アニサキス、ノロウイルス、植物性自然毒
核黄疸の治療	光線療法 やばい時は交換輸血
